title,link,qualified
Junior Full Stack Programmer,https://www.jobstreet.co.id/id/job/junior-full-stack-programmer-3827736?jobId=jobstreet-id-job-3827736&sectionRank=204&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"['Good environtment', 'Bonus', 'Sharpen your skill']"
Programmer,https://www.jobstreet.co.id/id/job/programmer-3833904?jobId=jobstreet-id-job-3833904&sectionRank=205&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"['Usia maksimal 30 tahun', 'Kandidat harus memiliki setidaknya Gelar Sarjana di Segala Jurusan dengan IPK minimal 3.00', 'Setidaknya memiliki 2\xa0tahun pengalaman sebagai Programmer di Perusahaan Manufaktur', 'Mampu membuat dan mengubah Program menggunakan Bahasa Pemrograman PHP dan Phyton', 'Mampu membuat design dan coding untuk frontend dan juga backend', 'Memahami dan mampu menggunakan konsep database (ERD, Normalisasi, Replikasi, Optimasi, dll)', 'Mampu membuat dan mengatur Database menggunakan MySQL dan MariaDB', 'Mampu memahami konsep Alur Program, Database, ERP, dan Alur Proses', 'Mampu membuat dokumentasi dari program yang telah dibuat', 'Kreatif, Imajinatif, Antusias dan memiliki kemauan untuk belajar serta memiliki komunikasi dan attitude yang baik', 'Mampu bekerja dibawah tekanan baik secara tim maupun individu', 'Jujur, rajin, teliti, cekatan, disiplin, bertanggung jawab, dan loyalitas', 'Mampu bekerja secara tim']"
ERP SAP SCM 1st Level Helpdesk,https://www.jobstreet.co.id/id/job/erp-sap-scm-1st-level-helpdesk-3845890?jobId=jobstreet-id-job-3845890&sectionRank=206&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"['To provide expertise supporting the day to day operations in the SAP SCM area with its E2E integration and daily supervise, monitor, and solve any issues for the smooth operation and make sure very high priority issues are tracked actively.']"
System Administrator (Infra),https://www.jobstreet.co.id/id/job/system-administrator-infra-3846093?jobId=jobstreet-id-job-3846093&sectionRank=207&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"['Flexitime and Opportunity to Working from Home', 'Professional Training and Development', 'Motivational Perks']"
Network Engineer,https://www.jobstreet.co.id/id/job/network-engineer-3844657?jobId=jobstreet-id-job-3844657&sectionRank=208&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelor's Degree in Computer Science/Information Technology or equivalent."", '\xa0At least 3 Year(s) of working experience in System Integrator, Cloud Provider or IT Managed Service Company.', 'Deep knowledge in\xa0network routing, switching, security, wireless and voice (Cisco)', 'Having knowledge about\xa0SDN (Software Define Network)', 'Hold\xa0CCNP RS, NSE4\xa0certificate or equivalent is a must.', 'Proactive, team player, good english and communication skill.']"
System Engineer (Office 365),https://www.jobstreet.co.id/id/job/system-engineer-office-365-3827115?jobId=jobstreet-id-job-3827115&sectionRank=209&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelor's Degree in Computer Science/Information Technology or equivalent from reputable University."", 'At least 5 Year(s) of working experience in as System Developer', 'Must have experience in in Office 365 (Sharepoint, Power BI, Power Apps, Active Directory, Operating system (Windows, Linux)', 'Strong analytical skills, problem solving and logical thinking.', 'Proven consultation skill with good communication and presentation skills.', 'Excellent in English is a must (written and oral).', 'Computer skill (MS Office : Word, Excel, Powerpoint, Outlook).']"
IT ( PROGRAMMER ),https://www.jobstreet.co.id/id/job/it-programmer-3842785?jobId=jobstreet-id-job-3842785&sectionRank=210&token=0~520a2120-b5b4-4728-b4e8-37b28924503e&fr=SRP%20Job%20Listing,"['S1 Teknik Informatika.', 'Memahami Java, J2SE, .NET, C ++, C #, Assembler , PHP, VB, Delphi, Power Builder, Oracle dan pernah membuat program dari software tersebut.', 'Mengerti konsep RDBMS & normalisasi tabel database.', 'Penempatan di Kudus.']"
Java/Spring Boot Backend Developer,https://www.jobstreet.co.id/id/job/java-spring-boot-backend-developer-3819748?jobId=jobstreet-id-job-3819748&sectionRank=2071&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Great Working Environment', 'Good Salary & Benefit', 'Great Career Advancement']"
IT Officer (Technical Support),https://www.jobstreet.co.id/id/job/it-officer-technical-support-3830428?jobId=jobstreet-id-job-3830428&sectionRank=2072&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelor's Degree, Master's Degree/Post Graduate Degree in Computer Science/Information System/Management Information/Computer Engineering or equivalent."", 'Required language(s):\xa0English.', 'At least 2\xa0Year(s) of working experience in the related field is required for this position.', 'Required Skill(s): Network management, IT hardware & software support.', 'Preferably Staff (non-management & non-supervisor) specialized in Technical Support or equivalent.', 'Job Description:', 'Network Security', 'Create Network & System Backup', 'Support end User to Network related matters', 'Maintain System Documentation', 'Server operator']"
Programmer ReactNative,https://www.jobstreet.co.id/id/job/programmer-reactnative-3817866?jobId=jobstreet-id-job-3817866&sectionRank=2073&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,['Lingkungan kerja yang nyaman']
Marketing Specialist,https://www.jobstreet.co.id/id/job/marketing-specialist-3818655?jobId=jobstreet-id-job-3818655&sectionRank=2074&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Fully Remote Working', 'Flexible work hours', 'Happy and harmonious working environment']"
Frontend (Angular) Developer,https://www.jobstreet.co.id/id/job/frontend-angular-developer-3838601?jobId=jobstreet-id-job-3838601&sectionRank=2075&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Building and maintaining web applications using\xa0ANGULAR Framework', 'To develop HTML web pages ensuring strong optimisation and functionality.', 'Deliver HTML pages or Development within tight deadlines.', 'Able to solve frontend problems fast and find the ideal solution.', 'Ability to understand the exact requirement of the project.', 'Ability to work in a team environment, from making pixel perfect sites that meet the design requirements to integrating code with the back-end development team (.NET and/or PHP frameworks).']"
IT Functional Digital (ITD - Q01),https://www.jobstreet.co.id/id/job/it-functional-digital-itd-q01-3816636?jobId=jobstreet-id-job-3816636&sectionRank=2076&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Minimum of bachelor degree from Information Technology or any related major', 'Experience in managing minimum 3 large scale projects (includes digital project)', 'Excellent abilities in gathering, analyze, and transforming business requirement into functional and technical specs', 'Fluent in English, both verbal and written', 'Familiar with Agile thinking and Scrum/Kanban Methodologies', 'Good organizational and interpersonal skills', 'Strong analytical skill, attention to detail', 'Having experience in retail and/or e-commerce preferred', 'Placement : JAKARTA']"
IT Programmer (Fullstack Developer),https://www.jobstreet.co.id/id/job/it-programmer-fullstack-developer-3815646?jobId=jobstreet-id-job-3815646&sectionRank=2077&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Lingkungan kerja yang menyenangkan', 'Support untuk mengembangkan soft skills & hard skills', 'Solid team work']"
SAP Business One Technical Consultant,https://www.jobstreet.co.id/id/job/sap-business-one-technical-consultant-3819637?jobId=jobstreet-id-job-3819637&sectionRank=2078&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Experienced in implementing ERP.\u202f\xa0', 'Preferably those who understand SAP Business One.\u202f\xa0', 'Fluent in .NET programming language (preferably\u202fVB.Net).\u202f\xa0', 'Fluent MS SQL.\u202f\xa0', 'Experienced using Crystal Report.\u202f\xa0']"
SAP PPQM Consultant,https://www.jobstreet.co.id/id/job/sap-ppqm-consultant-3820515?jobId=jobstreet-id-job-3820515&sectionRank=2079&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Adapts existing methods and procedures to create possible alternative solutions to\xa0moderately complex\xa0problems.\xa0\xa0', 'Understands the strategic direction\xa0set by senior management as it relates to team goals.\xa0', 'Uses\xa0considerable judgment\xa0to determine solution and\xa0seeks guidance\xa0on\xa0complex problems.\xa0\xa0', 'Primary upward interaction is with\xa0direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.', 'Determines methods and procedures\xa0on new assignments with\xa0guidance.\xa0\xa0', 'Decisions often impact\xa0the team in which they reside.\xa0', 'Manages\xa0small teams and/or work efforts\xa0(if in an individual contributor role) at a client or within Accenture']"
IT Programmer Staff,https://www.jobstreet.co.id/id/job/it-programmer-staff-3814346?jobId=jobstreet-id-job-3814346&sectionRank=2080&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Good Learning Company', 'Good Career Growth', 'Good Working Culture']"
ERP Project Manager (Bali Area),https://www.jobstreet.co.id/id/job/erp-project-manager-bali-area-3836663?jobId=jobstreet-id-job-3836663&sectionRank=2081&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Manage and ensure ERP projects are done on time, on budget and on scope with high customer satisfaction', 'Developing project plans, goals, and budgets; identifying resources needed', 'Maintaining project timeframes, budgeting estimates and status reports', 'Build and mentor team members to improve their capability', 'Coordinating project team members and developing schedules and individual responsibilities', 'Using project management tools to track project performance and schedule adherence', 'Conducting risk assessments for projects', 'Analyze, plan and develop requirements and standards in reference to scheduled projects', 'Hold regular team meetings to determine progress and address any questions or challenges regarding projects', 'Guiding and performing strategic analysis for the project', 'Organising and managing all phases of the project to ensure on-time completion', 'Assembling and coordinating project team members; assigning individual responsibilities', 'Planning and overseeing the preparation and dissemination of project communications.', 'Create and maintain comprehensive project documentation', 'Assist in any ad-hoc duties assigned']"
System Analyst,https://www.jobstreet.co.id/id/job/system-analyst-3816890?jobId=jobstreet-id-job-3816890&sectionRank=2082&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Gather requirement from client regarding the project', 'Analyze the system requirement in-depth', 'Write the specification document in detail', 'Write detailed test scenarios for the project', 'Test the implemented system', 'Provide training of the implemented system to clients']"
Web Front End Developer,https://www.jobstreet.co.id/id/job/web-front-end-developer-3836510?jobId=jobstreet-id-job-3836510&sectionRank=2083&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"[""Design, develop, and maintain application's UI through consistent and secure approach"", 'Test and Perform code deployment to production environment', 'Modify & enhance current application front-end to adapt to business requirement']"
IT PROGRAMMER (BE),https://www.jobstreet.co.id/id/job/it-programmer-be-3816411?jobId=jobstreet-id-job-3816411&sectionRank=2084&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"[""The candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent. Required language(s): Bahasa Indonesia"", 'Minimum 2-4 years working experience in a IT Application development.', 'Experience as backend developer: Java, SpringBoot, JPA Hibernate, Postgres, Redis.', 'Must have knowledge in the following: API, JSON, HTTP and RESTful web services.', 'Good Experience with Cloud Native technology such as AWS', 'Good knowledge in Unix/Linux environment, Docker, and container orchestration (Docker swarm, Kubernetes).', 'Experienced in test automation, code coverage and static code analysis.', 'Experienced working with DevOps teams to align development with the state-of-the-art CI/CD', 'Experience with Agile Methodology and SCRUM.', 'Possesses good problem solving and debugging skills - able to identify bugs and trace them down to the source.', 'Experience with utilizing version control like GIT.', 'Experience with building scalable, robust backend system with microservice architecture. and great collaborator, pays high attention to detail and able to work independently with minimum supervision.', 'Willingness to learn from others, to share and to grow.', 'Self-motivated and able to inspire people to be motivated.']"
Analytics Dev. & Visualization,https://www.jobstreet.co.id/id/job/analytics-dev.-visualization-3834875?jobId=jobstreet-id-job-3834875&sectionRank=2085&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Develop capabilities in Data Analytics to provide information driven insight to help understanding customer behavior, identify trends and opportunities, and provide solution based on these insight', 'Develop automation creative visualization in report and dashboard format that user friendly and can help business users in collect data and build their own analysis', 'Receive data, report and dashboard requirements from business users', 'Analyze the requirements, collaborate with data engineer team to create automation of collecting data source and create the summary data for the report and dashboard', 'Build and develop visualization/dashboard that user friendly as per requirement and assure the accuracy of data provided', 'Build and develop new initiative solution of usecase, report, dashboard, to support business users', 'Exploring new technology of analytics and deliver analytics and visualization solutions with new technology']"
IT Strategy Consulting,https://www.jobstreet.co.id/id/job/it-strategy-consulting-3815516?jobId=jobstreet-id-job-3815516&sectionRank=2086&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"['Uniqueness: Experience real business transformation', 'Real Partner: Real People, Real Solutions and Real Results', 'Global network: International exposure']"
IT Project Manager for Software Development,https://www.jobstreet.co.id/id/job/it-project-manager-for-software-development-3821073?jobId=jobstreet-id-job-3821073&sectionRank=2087&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,"[""Possess at least a Bachelor's Degree, Master's Degree / Post Graduate Degree, Doctorate, Engineering (Computer/Telecommunication), Business Studies/Administration/Management, Science & Technology or equivalent."", 'Required skill(s): have a good management and communication skills and hold IT CPM certificate is preferable.', 'Experiences to lead Software Development Projects only', 'Excellent Communication skill in English (verbal & written).', 'Applicants must be willing to do business trip outside Indonesia.', 'Must have working experience in Banking/financial industry at least 5 year(s).', 'Preferably Manager/Assistant Managers specializing in IT/Computer - Software or equivalent.']"
Project Manager Network & Cyber Security Solution,https://www.jobstreet.co.id/id/job/project-manager-network-cyber-security-solution-4868892/origin/my?jobId=jobstreet-my-job-4868892&sectionRank=2088&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
Oracle Database,https://www.jobstreet.co.id/id/job/oracle-database-3835731?jobId=jobstreet-id-job-3835731&sectionRank=2089&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
SAP FICO (Functional & Technical),https://www.jobstreet.co.id/id/job/sap-fico-functional-technical-3820434?jobId=jobstreet-id-job-3820434&sectionRank=2090&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
Senior System Analyst (Assistant Manager),https://www.jobstreet.co.id/id/job/senior-system-analyst-assistant-manager-3823755?jobId=jobstreet-id-job-3823755&sectionRank=2091&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
IT Product Support Specialist,https://www.jobstreet.co.id/id/job/it-product-support-specialist-3834005?jobId=jobstreet-id-job-3834005&sectionRank=2092&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
.NET Database Developer (ND:JS),https://www.jobstreet.co.id/id/job/.net-database-developer-nd%3Ajs-3835301?jobId=jobstreet-id-job-3835301&sectionRank=2093&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
Data Analyst,https://www.jobstreet.co.id/id/job/data-analyst-3834293?jobId=jobstreet-id-job-3834293&sectionRank=2094&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
IT Mobile Developer (Karawang),https://www.jobstreet.co.id/id/job/it-mobile-developer-karawang-3817960?jobId=jobstreet-id-job-3817960&sectionRank=2095&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
IT Technical Implementator,https://www.jobstreet.co.id/id/job/it-technical-implementator-3833232?jobId=jobstreet-id-job-3833232&sectionRank=2096&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
PMO Solutions Developer,https://www.jobstreet.co.id/id/job/pmo-solutions-developer-3836945?jobId=jobstreet-id-job-3836945&sectionRank=2097&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
SAP SD Functional Consultant,https://www.jobstreet.co.id/id/job/sap-sd-functional-consultant-3819635?jobId=jobstreet-id-job-3819635&sectionRank=2098&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
"Manager/Lead, IT Business Analyst (Mandarin Speaking)",https://www.jobstreet.co.id/id/job/manager-lead-it-business-analyst-mandarin-speaking-4847625/origin/my?jobId=jobstreet-my-job-4847625&sectionRank=2099&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
.NET CORE Developer,https://www.jobstreet.co.id/id/job/.net-core-developer-3835910?jobId=jobstreet-id-job-3835910&sectionRank=2100&token=0~e0e305c2-f378-45c5-9063-6b9a6d081b61&fr=SRP%20Job%20Listing,[]
HR Data Scientist Senior Supervisor,https://www.jobstreet.co.id/id/job/hr-data-scientist-senior-supervisor-3824671?jobId=jobstreet-id-job-3824671&sectionRank=2101&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Senior System Analyst,https://www.jobstreet.co.id/id/job/senior-system-analyst-3834740?jobId=jobstreet-id-job-3834740&sectionRank=2102&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Asst. Manager,https://www.jobstreet.co.id/id/job/it-asst.-manager-3812310?jobId=jobstreet-id-job-3812310&sectionRank=2103&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Senior Software Developer ReactJS NetCore - 1 year Contract,https://www.jobstreet.co.id/id/job/senior-software-developer-reactjs-netcore-1-year-contract-3836262?jobId=jobstreet-id-job-3836262&sectionRank=2104&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Java Developer BackEnd & FrontEnd,https://www.jobstreet.co.id/id/job/java-developer-backend-frontend-3838624?jobId=jobstreet-id-job-3838624&sectionRank=2105&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Manager Middle,https://www.jobstreet.co.id/id/job/it-manager-middle-3832400?jobId=jobstreet-id-job-3832400&sectionRank=2106&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
System Engineer,https://www.jobstreet.co.id/id/job/system-engineer-3833026?jobId=jobstreet-id-job-3833026&sectionRank=2107&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Lead Software Developer,https://www.jobstreet.co.id/id/job/lead-software-developer-3817516?jobId=jobstreet-id-job-3817516&sectionRank=2108&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Mobile Developer,https://www.jobstreet.co.id/id/job/mobile-developer-3837205?jobId=jobstreet-id-job-3837205&sectionRank=2109&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
ERP Support Analyst Remote Asia,https://www.jobstreet.co.id/id/job/erp-support-analyst-remote-asia-3825166?jobId=jobstreet-id-job-3825166&sectionRank=2110&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Application Tester (Quality Assurance),https://www.jobstreet.co.id/id/job/application-tester-quality-assurance-3817928?jobId=jobstreet-id-job-3817928&sectionRank=2111&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Software Research Engineer,https://www.jobstreet.co.id/id/job/software-research-engineer-3834841?jobId=jobstreet-id-job-3834841&sectionRank=2112&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Senior Network Engineer (CCNP),https://www.jobstreet.co.id/id/job/senior-network-engineer-ccnp-3835789?jobId=jobstreet-id-job-3835789&sectionRank=2113&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Mobile apps developer (React Native),https://www.jobstreet.co.id/id/job/mobile-apps-developer-react-native-3837283?jobId=jobstreet-id-job-3837283&sectionRank=2114&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
SAP PI/PO Consultant,https://www.jobstreet.co.id/id/job/sap-pi-po-consultant-3820519?jobId=jobstreet-id-job-3820519&sectionRank=2115&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Software Engineer (Developer) Specialist,https://www.jobstreet.co.id/id/job/it-software-engineer-developer-specialist-3817569?jobId=jobstreet-id-job-3817569&sectionRank=2116&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Infrastructure & Security Enterprise Manager,https://www.jobstreet.co.id/id/job/it-infrastructure-security-enterprise-manager-3831102?jobId=jobstreet-id-job-3831102&sectionRank=2117&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
SAP Functional WM / MM,https://www.jobstreet.co.id/id/job/sap-functional-wm-mm-3820479?jobId=jobstreet-id-job-3820479&sectionRank=2118&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
RPA Development Specialist,https://www.jobstreet.co.id/id/job/rpa-development-specialist-3817103?jobId=jobstreet-id-job-3817103&sectionRank=2119&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Java BackEnd Developer,https://www.jobstreet.co.id/id/job/java-backend-developer-3834723?jobId=jobstreet-id-job-3834723&sectionRank=2120&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Central Data Management,https://www.jobstreet.co.id/id/job/central-data-management-3834880?jobId=jobstreet-id-job-3834880&sectionRank=2121&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Engineer - BINUS Digital,https://www.jobstreet.co.id/id/job/it-engineer-binus-digital-3812934?jobId=jobstreet-id-job-3812934&sectionRank=2122&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Android Developer,https://www.jobstreet.co.id/id/job/android-developer-3820107?jobId=jobstreet-id-job-3820107&sectionRank=2123&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Solutions Architect,https://www.jobstreet.co.id/id/job/solutions-architect-3836358?jobId=jobstreet-id-job-3836358&sectionRank=2124&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Front End Web Programmer,https://www.jobstreet.co.id/id/job/front-end-web-programmer-3814557?jobId=jobstreet-id-job-3814557&sectionRank=2125&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Technical Support System Engineer Managed Services,https://www.jobstreet.co.id/id/job/technical-support-system-engineer-managed-services-3819728?jobId=jobstreet-id-job-3819728&sectionRank=2126&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Technical Support,https://www.jobstreet.co.id/id/job/technical-support-3828507?jobId=jobstreet-id-job-3828507&sectionRank=2127&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
SAP Basis Consultant,https://www.jobstreet.co.id/id/job/sap-basis-consultant-3820522?jobId=jobstreet-id-job-3820522&sectionRank=2128&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
IT Business Analyst,https://www.jobstreet.co.id/id/job/it-business-analyst-3821767?jobId=jobstreet-id-job-3821767&sectionRank=2129&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Data Steward Business Partner,https://www.jobstreet.co.id/id/job/data-steward-business-partner-3816861?jobId=jobstreet-id-job-3816861&sectionRank=2130&token=0~e145947f-b3c3-423b-b5c4-3a6ddabdfa4c&fr=SRP%20Job%20Listing,[]
Mobile Developer (Ionic),https://www.jobstreet.co.id/id/job/mobile-developer-ionic-3819652?jobId=jobstreet-id-job-3819652&sectionRank=2131&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
Presales Engineer Infrastructure,https://www.jobstreet.co.id/id/job/presales-engineer-infrastructure-3818384?jobId=jobstreet-id-job-3818384&sectionRank=2132&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
SAP ABAP PROGRAMMER,https://www.jobstreet.co.id/id/job/sap-abap-programmer-3818167?jobId=jobstreet-id-job-3818167&sectionRank=2133&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
Senior Programmer (GreatNusa),https://www.jobstreet.co.id/id/job/senior-programmer-greatnusa-3835371?jobId=jobstreet-id-job-3835371&sectionRank=2134&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
Java Developer,https://www.jobstreet.co.id/id/job/java-developer-3836536?jobId=jobstreet-id-job-3836536&sectionRank=2135&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
Full Stack .Net Java Developer,https://www.jobstreet.co.id/id/job/full-stack-.net-java-developer-3836588?jobId=jobstreet-id-job-3836588&sectionRank=2136&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
Ul /UX Designer,https://www.jobstreet.co.id/id/job/ul-ux-designer-3837264?jobId=jobstreet-id-job-3837264&sectionRank=2137&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
UI/UX Designer,https://www.jobstreet.co.id/id/job/ui-ux-designer-3835388?jobId=jobstreet-id-job-3835388&sectionRank=2138&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
SAP ABAP Tehnical Consultant,https://www.jobstreet.co.id/id/job/sap-abap-tehnical-consultant-3819634?jobId=jobstreet-id-job-3819634&sectionRank=2139&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,[]
BI Developer (Programmer),https://www.jobstreet.co.id/id/job/bi-developer-programmer-3816672?jobId=jobstreet-id-job-3816672&sectionRank=2140&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,"['Creating and updating BI solutions', 'Designing technical queries', 'Developing exact search requests', 'Translating data into simple business terms and formats for use in other departments', 'Working with business analysts and other developers to curate data', 'Creating visual documents to help present data', 'Documenting processes for future use', 'Troubleshooting business intelligence modeling issues and developing solutions', 'Backing up and securely storing data']"
ERP Consultant / ERP Implementer,https://www.jobstreet.co.id/id/job/erp-consultant-erp-implementer-3836670?jobId=jobstreet-id-job-3836670&sectionRank=2141&token=0~203eb087-4070-426b-b7cf-2767868849d7&fr=SRP%20Job%20Listing,"['Manage and ensure ERP projects are done on time, on budget and on scope with high customer satisfaction', 'Gather requirements, manage development with developers, perform UAT, training and Go Live with customer', 'Create, update and maintain a variety of project controls that track the status of: individual projects or task orders, changes to projects or task orders, matters involving quality controls, and other aspects of the project(s) or task order(s).', 'Analyze reports and use personal influence to create priorities that prevent delays to critical activities within the project;', 'Establish, monitor, communicate and maintain project schedules;', 'Write software/technical documentation for assigned ERP projects;', 'Proactively identify issues that could lead to problems and facilitate solutions;', 'Assist in ensuring that all aspects of the project are compliant with all contract terms and legal requirements that govern the project and the community in which the project(s) takes place;', 'Participate in manage activities that are related to ensuring timely completion;', 'Participate in life-long learning opportunities and professional development.', 'Participate in weekly staff meetings and industry networking functions.', 'Any other duties assigned.']"
